different digits: 272255

<digits> <times>
b'0726' 25
b'1988121' 25
b'0602' 25
b'2050' 25
b'0620' 25
b'456654' 25
b'031' 25
b'821024' 25
b'19891215' 25
b'19891204' 25
b'0424' 25
b'19881224' 25
b'789987' 25
b'458' 25
b'831206' 25
b'1937' 25
b'0623' 25
b'196' 25
b'123567' 25
b'1989123' 25
b'4125' 25
b'5911902' 25
b'871115' 25
b'19890126' 25
b'19890202' 25
b'1122336699' 25
b'5420' 24
b'141592' 24
b'1534930' 24
b'768' 24
b'1986123' 24
b'2323' 24
b'197' 24
b'19881210' 24
b'198822' 24
b'607' 24
b'1515' 24
b'1987815' 24
b'54088' 24
b'564' 24
b'881022' 24
b'881216' 24
b'19880204' 24
b'19891103' 24
b'831025' 24
b'162534' 24
b'0907' 24
b'267' 24
b'098765' 24
b'352' 24
b'637' 24
b'881226' 24
b'1314920' 24
b'787' 24
b'19891230' 24
b'871014' 24
b'475' 24
b'123147' 24
b'538' 24
b'19871011' 24
b'286' 24
b'019' 24
b'1989520' 24
b'199771' 24
b'0307' 24
b'388' 24
b'367' 24
b'123890' 24
b'556677' 24
b'703' 24
b'468' 24
b'668899' 24
b'78963' 24
b'881017' 24
b'19890724' 24
b'968' 24
b'0930' 24
b'881126' 24
b'198671' 24
b'88271' 24
b'4399' 24
b'891' 24
b'135792468' 24
b'958' 24
b'19891208' 24
b'565' 24
b'551' 24
b'198987' 24
b'668518' 24
b'8013' 24
b'19891212' 24
b'245' 24
b'19881006' 24
b'19881218' 24
b'1985125' 24
b'078915' 24
b'12348765' 24
b'880226' 23
b'998877' 23
b'19901010' 23
b'0537' 23
b'198728' 23
b'587' 23
b'605' 23
b'5260' 23
b'981' 23
b'881228' 23
b'19871012' 23
b'19890103' 23
b'6666666' 23
b'19871216' 23
b'8899174' 23
b'891026' 23
b'198968' 23
b'19870130' 23
b'5920' 23
b'04551' 23
b'0330' 23
b'123458' 23
b'667' 23
b'296' 23
b'759' 23
b'831008' 23
b'384' 23
b'337' 23
b'669' 23
b'0371' 23
b'082' 23
b'2014' 23
b'5258' 23
b'281' 23
b'131313' 23
b'1986814' 23
b'520521' 23
b'19881124' 23
b'767' 23
b'765' 23
b'871021' 23
b'599' 23
b'369852' 23
b'880410' 23
b'841003' 23
b'1989723' 23
b'31415' 23
b'52099' 23
b'871210' 23
b'881021' 23
b'5620' 23
b'0113' 23
b'240' 23
b'0904' 23
b'167' 23
b'880818' 23
b'5337' 23
b'459' 23
b'8910' 23
b'635241' 23
b'661' 23
b'136600' 23
b'19811204' 23
b'0410' 23
b'5627568' 23
b'198888' 23
b'48691988612' 23
b'900811' 23
b'881129' 22
b'198716' 22
b'881019' 22
b'790' 22
