different specials: 2234

<specials> <times>
b'//\\\\' 1
b'((()$$' 1
b'!^^' 1
b'*!^@' 1
b'%@@' 1
b'..*-' 1
b'^*!!@%' 1
b'!!@^' 1
b'+!#' 1
b'@@-' 1
b'!!!)' 1
b'%%@@' 1
b";'<>?" 1
b'()!!)^)%' 1
b'!)@^' 1
b'/;;;' 1
b'#)' 1
b'&&&--' 1
b'@!^' 1
b')}@' 1
b'[====]' 1
b'&()(!(' 1
b'!#$*' 1
b'%^)%!(' 1
b' &' 1
b"\\]'" 1
b'#%&#$@@^&' 1
b'-**-' 1
b'--`' 1
b'$@!' 1
b'!)!)%@)' 1
b'(**)' 1
b'$#!@!%' 1
b'@_$' 1
b'*#{' 1
b')@)^' 1
b'(#$%' 1
b'=--' 1
b'!(^(!@)$' 1
b'$@@#@^%%!*' 1
b'://@' 1
b'!^#.' 1
b'#$#%^' 1
b')^!^' 1
b'*!)^)^' 1
b'];' 1
b".'" 1
b'@\xa3\xa4' 1
b'**)*^!)' 1
b'(*^' 1
b'~!@##@!~' 1
b'!(*()*!@' 1
b'-=`' 1
b'&&!)@#' 1
b'%!#' 1
b'\x80' 1
b'#=' 1
b'@@#$' 1
b'=?->' 1
b'-+*/' 1
b';]' 1
b'()!?' 1
b'?!@' 1
b'^&#' 1
b'!%*%' 1
b'^@)' 1
b'?<>' 1
b'\xa8\xa2' 1
b'\xa1\xec' 1
b',,@' 1
b'*$#' 1
b'&_' 1
b'\xc4\xcf\xca\xa6\xb4\xf3\xa3\xba\xb9\xab\xb7\xd1\xb3\xac\xb9\xfd' 1
b'%!!' 1
b'_+!' 1
b'!()' 1
b';[' 1
b'%^!@*&' 1
b'.|!' 1
b'@&=' 1
b'=%' 1
b'*!@' 1
b'^@#%' 1
b'\\\\//' 1
b'!(*&)!@*' 1
b'$!*' 1
b'!@)&' 1
b'!$@' 1
b'##%^+_' 1
b'@$#^(' 1
b'!@#/' 1
b'%@%*' 1
b'$)' 1
b'_$_$' 1
b'!%)' 1
